 set,,,GENERAL INFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
â„–,NAME,US TIER LIST,US,UK,CA,MX,DE,IT,ES,FR,SE,PL,NL,TR,JP,ASIN (US/CA/MX),SKU (US/CA/MX),"PRODUCT INDENTIFIER
(US/CA/MX)",FNSKU (US/CA/MX),UPC (US),UPC (CA),UPC (MX),"PRODUCT BARCODE 
(US/CA/MX)",GTIN,ASIN (UK/TR),SKU (UK),"PRODUCT INDENTIFIER
(UK)",FNSKU (UK),UPC/ EAN (UK),"PRODUCT BARCODE 
(UK)",ASIN (EU/TR),SKU (EU),"PRODUCT INDENTIFIER
(EU)",FNSKU (EU),UPC (EU),"PRODUCT BARCODE 
(EU)",ASIN (JP),"PRODUCT INDENTIFIER
(JP)",FNSKU (JP),UPC (JP),"PRODUCT BARCODE 
(JP)",CARE LABELS US,CARE LABELS CA,CARE LABELS UK,CARE LABELS EU,SHORT NAME,,UPLOADED ON AMZ,,,,,,,,,,,,,UPLOADED ON YT
1,Seat Cushion Black,PLATINUM,https://www.amazon.com/dp/B01EBDV9BU,https://www.amazon.co.uk/dp/B01EBDV9BU,https://www.amazon.ca/dp/B01EBDV9BU,https://www.amazon.com.mx/dp/B01EBDV9BU,https://www.amazon.de/dp/B01EBDV9BU,https://www.amazon.it/dp/B01EBDV9BU,https://www.amazon.es/dp/B01EBDV9BU,https://www.amazon.fr/dp/B01EBDV9BU,https://www.amazon.pl/dp/B01EBDV9BU,https://www.amazon.pl/dp/B01EBDV9BU,https://www.amazon.nl/dp/B01EBDV9BU,https://www.amazon.com.tr/dp/B01EBDV9BU,https://www.amazon.co.jp/dp/B01EBDV9BU,B01EBDV9BU,8K-VA60-WNJK,FNSKU,X00106UHA7,675595199103,675595199103,675595199103,SC black barcode,00810062780259,B01EBDV9BU,EC-MF,FNSKU,X000MGRB93,675595199103,EC-MF barcode,B01EBDV9BU,EC-MF,FNSKU,"        
X000MGRB93",675595199103,EC-MF barcode,B01EBDV9BU,FNSKU,X000ZXVH7R,053119871955,file,https://docs.google.com/document/d/1aYoQPHQb25CGx9xURCLMMvDddM6bu0_vvRgjf_z6di8/edit?usp=sharing,https://docs.google.com/document/d/1PNm7HuPC-NIQy_YDHO9nCxVIUPGpf0OghkXqruYEDtE/edit?usp=sharing,https://docs.google.com/document/d/1Rq9YV-IkEcZKztbnXqIPfiiWN6yryKj4oHdnE6OO8wQ/edit?usp=sharing,https://docs.google.com/document/d/1loZBoEEId07cc31CuekSO4w7QWZwZZzg_opz7xaBC88/edit?usp=sharing,SC-B,SC,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
1,Seat Cushion Blue,PLATINUM,https://www.amazon.com/dp/B07SZ3TNGQ,-,https://www.amazon.ca/dp/B07SZ3TNGQ,https://www.amazon.com.mx/dp/B07SZ3TNGQ,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B07SZ3TNGQ,B07SZ3TNGQ,SC-BL,FNSKU,X0027OQC19,850004566213,850004566213,850004566213,SC Blue barcode,00810062780891,B07SZ3TNGQ,SC-BL,FNSKU,X001CXFFTN,850004566213,SC-BL barcode,B07SZ3TNGQ,SC-BL,FNSKU,X001CXFFTN,B07SZ3TNGQ,SC-BL barcode,B07SZ3TNGQ,FNSKU,X000Z2MS7L,850004566213,,https://docs.google.com/document/d/1zdHZJrjPomSoMb2R329_o1zhSlP6i3EZH2HaP1LUtmw/edit?usp=sharing,https://docs.google.com/document/d/1zdHZJrjPomSoMb2R329_o1zhSlP6i3EZH2HaP1LUtmw/edit?usp=sharing,https://docs.google.com/document/d/1kHH6_TsU9ygf5DoB_CLloaKrYzKj2Ay_PKFc_QPEdLs/edit?usp=sharing,https://docs.google.com/document/d/1QhR3LAfueSDBB6RsVPHyyh7YbMYoKXPAq02oZlllvL8/edit?usp=sharing,SC-BL,SC,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
1,Seat Cushion Gray,PLATINUM,https://www.amazon.com/dp/B07SZ3THNS,-,https://www.amazon.ca/dp/B07SZ3THNS,https://www.amazon.com.mx/dp/B07SZ3THNS,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B07SZ3THNS,B07SZ3THNS,SC-G,FNSKU,X0027M4QXH,850004566237,850004566237,850004566237,SC-Gray barcode,00810062780907,B07SZ3THNS,SC-G,FNSKU,X001CXFDSV,850004566237,SC-G barcode,B07SZ3THNS,SC-G,FNSKU,X001CXFDSV,850004566213,SC-G barcode,B07SZ3THNS,FNSKU,X000Z2NJAL,850004566237,,https://docs.google.com/document/d/1zdHZJrjPomSoMb2R329_o1zhSlP6i3EZH2HaP1LUtmw/edit?usp=sharing,https://docs.google.com/document/d/1zdHZJrjPomSoMb2R329_o1zhSlP6i3EZH2HaP1LUtmw/edit?usp=sharing,https://docs.google.com/document/d/1kHH6_TsU9ygf5DoB_CLloaKrYzKj2Ay_PKFc_QPEdLs/edit?usp=sharing,https://docs.google.com/document/d/1QhR3LAfueSDBB6RsVPHyyh7YbMYoKXPAq02oZlllvL8/edit?usp=sharing,SC-G,SC,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
1,Seat Cushion Navy Blue,PLATINUM,https://www.amazon.com/dp/B07T16Q847,-,https://www.amazon.ca/dp/B07T16Q847,https://www.amazon.com.mx/dp/B07T16Q847,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B07T16Q847,B07T16Q847,SC-NB,FNSKU,X0027L8TXB,850004566206,850004566206,850004566206,SC-Navy Blue barcode,00810062780914,B07T16Q847,SC-NB,FNSKU,X001CXCAT1,850004566206,SC-NB barcode,B07T16Q847,SC-NB,FNSKU,X001CXCAT1,B07T16Q847,SC-NB barcode,B07T16Q847,FNSKU,X000Z2MX49,850004566206,,https://docs.google.com/document/d/1zdHZJrjPomSoMb2R329_o1zhSlP6i3EZH2HaP1LUtmw/edit?usp=sharing,https://docs.google.com/document/d/1zdHZJrjPomSoMb2R329_o1zhSlP6i3EZH2HaP1LUtmw/edit?usp=sharing,https://docs.google.com/document/d/1kHH6_TsU9ygf5DoB_CLloaKrYzKj2Ay_PKFc_QPEdLs/edit?usp=sharing,https://docs.google.com/document/d/1QhR3LAfueSDBB6RsVPHyyh7YbMYoKXPAq02oZlllvL8/edit?usp=sharing,SC-NB,SC,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
1,Seat Cushion Red,PLATINUM,https://www.amazon.com/dp/B07T15YVB3,-,https://www.amazon.ca/dp/B07T15YVB3,https://www.amazon.com.mx/dp/B07T15YVB3,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B07T15YVB3,B07T15YVB3,SC-R,FNSKU,X0027L8TXL,850004566220,850004566220,850004566220,SC-Red barcode,00810062780921,B07T15YVB3,SC-R,FNSKU,X001CXCAXH,850004566220,SC-R barcode,B07T15YVB3,SC-R,FNSKU,X001CXCAXH,B07T15YVB3,SC-R barcode,B07T15YVB3,FNSKU,X000Z2NO2T,850004566220,,https://docs.google.com/document/d/1zdHZJrjPomSoMb2R329_o1zhSlP6i3EZH2HaP1LUtmw/edit?usp=sharing,https://docs.google.com/document/d/1zdHZJrjPomSoMb2R329_o1zhSlP6i3EZH2HaP1LUtmw/edit?usp=sharing,https://docs.google.com/document/d/1kHH6_TsU9ygf5DoB_CLloaKrYzKj2Ay_PKFc_QPEdLs/edit?usp=sharing,https://docs.google.com/document/d/1QhR3LAfueSDBB6RsVPHyyh7YbMYoKXPAq02oZlllvL8/edit?usp=sharing,SC-R,SC,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
2,Foot Rest Pillow (Black),PLATINUM,https://www.amazon.com/dp/B07PGLBCFG,-,https://www.amazon.ca/dp/B07PGLBCFG,https://www.amazon.com.mx/dp/B07PGLBCFG,-,-,-,-,-,-,-,https://www.amazon.com.tr/dp/B07PGLBCFG,https://www.amazon.co.jp/dp/B07PGLBCFG,B07PGLBCFG,FRP,FNSKU,X0022TXC9T,850004566114,850004566114,850004566114,FRP-Black barcode,00810062780952,B07PGLBCFG,FRP,FNSKU,X0016MT7U3,850004566114,FRP barcode,B07PGLBCFG,FRP,FNSKU,X0016MT7U3,B07PGLBCFG,FRP barcode,B07PGLBCFG,FNSKU,X000Z1WOQ7,850004566114,file,https://docs.google.com/document/d/1pkFbEAAk6rEvCuevtX4d4sP5NIXX194frO78ixxHpb0/edit?usp=sharing,https://docs.google.com/document/d/1vvIhNuShumDPWpsTMQdGgI3aAMyimofKgUs4bMa6Gss/edit?usp=sharing,https://docs.google.com/document/d/1Asu9z_g9MNfFVjLEJVL6Za1C2uq3BZIDW45N4-iDsCI/edit?usp=sharing,-,FRP,FRP,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,YES
2,Foot Rest Pillow (Navy Blue),PLATINUM,-,-,-,-,-,-,-,-,-,-,-,-,-,B09NCKLF97,FRP-NB,UPC,B09NCKLF97,810062781386,810062781386,810062781386,FRP-NB barcode,00810062781386,B09NCKLF97,,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,FRP-NB,FRP,NO,,,,,,,,,,,,,
2,Foot Rest Pillow (Gray),PLATINUM,https://www.amazon.com/dp/B09NCPHLHQ,-,-,-,-,-,-,-,-,-,-,-,-,B09NCPHLHQ,FRP-GI,UPC,B09NCPHLHQ,810062781393,810062781393,810062781393,FRP-GI barcode,00810062781393,,,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,FRP-G,FRP,NO,,,,,,,,,,,,,
3,Foot Rest Pillow Gel Infused,DIRT,https://www.amazon.com/dp/B08S2Y4Z6K,https://www.amazon.co.uk/dp/,https://www.amazon.ca/dp/B08S2Y4Z6K,https://www.amazon.com.mx/dp/B08S2Y4Z6K,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B08S2Y4Z6K,B08S2Y4Z6K,FRP-GI,FNSKU,X002RIR79L,850004566855,850004566855,850004566856,FRP-Gel barcode,00810062780969,,,-,-,-,-,-,-,-,-,-,,,,,,,https://docs.google.com/document/d/1rq2yfjLTXImmelvO81IliOCQOGdf5pc3SVpkpXzysjk/edit?usp=sharing,-,-,-,FRP-GI,FRP-GI,NO,-,-,NO,-,-,-,-,-,-,-,-,NO,NO
4,Back Cushion Black,PLATINUM,https://www.amazon.com/dp/B01IJNJAZ0,https://www.amazon.co.uk/dp/B01IJNJAZ0,https://www.amazon.ca/dp/B01IJNJAZ0,https://www.amazon.com.mx/dp/B01IJNJAZ0,https://www.amazon.de/dp/B01IJNJAZ0,https://www.amazon.it/dp/B01IJNJAZ0,https://www.amazon.es/dp/B01IJNJAZ0,https://www.amazon.fr/dp/B01IJNJAZ0,-,-,-,https://www.amazon.com.tr/dp/B01IJNJAZ0,https://www.amazon.co.jp/dp/B01IJNJAZ0,B01IJNJAZ0,7,FNSKU,X0015KK4JH,810062780082,810062780082,810062780082,BC-Black barcode,00810062780082,B01IJNJAZ0,EC-BC-UK,FNSKU,X000QPGDCL,810062780082,EC-BC-UK barcode,B01IJNJAZ0,EC-BC-UK,FNSKU,X000QPGDCL,B01IJNJAZ0,EC-BC-UK barcode,B01IJNJAZ0,FNSKU,X000Z2EA77,810062780082,file,https://docs.google.com/document/d/1Xb8XnS9Qb8clX5kY9yEPbgdCoznZkp1xwa650JYCik4/edit?usp=sharing,https://docs.google.com/document/d/1ffqS234FCTxM1Dm9Rj2TRHplZgmmao5UAmlW43RmWS4/edit?usp=sharing,https://docs.google.com/document/d/1LJLPoI5ZzWANzwgBHj-ZBI0RtDv7-1fcP47hZ9ayVdk/edit?usp=sharing,-,BC-B,BC,YES,YES,NO,NO,NO,NO,NO,NO,-,-,-,NO,NO,YES
4,Back Cushion Blue,PLATINUM,https://www.amazon.com/dp/B07T86CZ4T,-,-,https://www.amazon.com.mx/dp/B07T86CZ4T,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B07T86CZ4T,B07T86CZ4T,BC-BL,FNSKU,X0027YX0YB,850004566275,850004566275,850004566275,BC-Blue barcode,00810062780983,B07T86CZ4T,BC-BL,FNSKU,X001CXC94H,850004566275,BC-BL barcode,B07T86CZ4T,BC-BL,FNSKU,X001CXC94H,B07T86CZ4T,BC-BL barcode,B07T86CZ4T,FNSKU,X000Z2ZETP,850004566275,file,https://docs.google.com/document/d/1mxis4SzZ8sX1tciWvg7OelauKPAwgILqRbhPdxrUfhk/edit?usp=sharing,https://docs.google.com/document/d/1_ko_H3X6lNWu0GjumTqdJN4JkYH6jNWFIew2cZCYrUI/edit?usp=sharing,https://docs.google.com/document/d/1mH1OQ893fPi978ZvJImq5OTrTJPkA1M9qlZsvv4IWNE/edit?usp=sharing,-,BC-BL,BC,,,,,,,,,,,,,,
4,Back Cushion Gray,PLATINUM,https://www.amazon.com/dp/B07VBJTNFC,-,-,https://www.amazon.com.mx/dp/B07VBJTNFC,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B07VBJTNFC,B07VBJTNFC,"	
BC-G",FNSKU,X002928FAP,850004566305,850004566305,850004566305,BC-Gray barcode,00810062780990,B07VBJTNFC,"	
BC-G",FNSKU,X001CXFFJD,850004566305,"	
BC-G barcode",B07VBJTNFC,"	
BC-G",FNSKU,X001CXFFJD,B07VBJTNFC,"	
BC-G barcode",B07VBJTNFC,FNSKU,X000Z2YATF,850004566305,file,https://docs.google.com/document/d/1mxis4SzZ8sX1tciWvg7OelauKPAwgILqRbhPdxrUfhk/edit?usp=sharing,https://docs.google.com/document/d/1_ko_H3X6lNWu0GjumTqdJN4JkYH6jNWFIew2cZCYrUI/edit?usp=sharing,https://docs.google.com/document/d/1mH1OQ893fPi978ZvJImq5OTrTJPkA1M9qlZsvv4IWNE/edit?usp=sharing,-,BC-G,BC,,,,,,,,,,,,,,
4,Back Cushion Navy Blue,PLATINUM,https://www.amazon.com/dp/B07TCCDR9K,-,-,https://www.amazon.com.mx/dp/B07TCCDR9K,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B07TCCDR9K,B07TCCDR9K,BC-NB,FNSKU,X0027UDELJ,850004566282,850004566282,850004566282,BC-Navy Blue barcode,00810062781003,B07TCCDR9K,BC-NB,FNSKU,X001CXFFM5,850004566282,BC-NB barcode,B07TCCDR9K,BC-NB,FNSKU,X001CXFFM5,B07TCCDR9K,BC-NB barcode,B07TCCDR9K,FNSKU,X000Z2YDZB,850004566282,file,https://docs.google.com/document/d/1mxis4SzZ8sX1tciWvg7OelauKPAwgILqRbhPdxrUfhk/edit?usp=sharing,https://docs.google.com/document/d/1_ko_H3X6lNWu0GjumTqdJN4JkYH6jNWFIew2cZCYrUI/edit?usp=sharing,https://docs.google.com/document/d/1mH1OQ893fPi978ZvJImq5OTrTJPkA1M9qlZsvv4IWNE/edit?usp=sharing,-,BC-NB,BC,,,,,,,,,,,,,,
4,Back Cushion Red,PLATINUM,https://www.amazon.com/dp/B07TBBLCMK,-,-,https://www.amazon.com.mx/dp/B07TBBLCMK,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B07TBBLCMK,B07TBBLCMK,BC-R,FNSKU,X0027WBR6V,850004566299,850004566299,850004566299,BC-Red barcode,00810062781010,B07TBBLCMK,BC-R,FNSKU,X001CXGW13,850004566299,BC-R barcode,B07TBBLCMK,BC-R,FNSKU,X001CXGW13,B07TBBLCMK,BC-R barcode,B07TBBLCMK,FNSKU,X000Z2Z3JB,850004566299,file,https://docs.google.com/document/d/1mxis4SzZ8sX1tciWvg7OelauKPAwgILqRbhPdxrUfhk/edit?usp=sharing,https://docs.google.com/document/d/1_ko_H3X6lNWu0GjumTqdJN4JkYH6jNWFIew2cZCYrUI/edit?usp=sharing,https://docs.google.com/document/d/1mH1OQ893fPi978ZvJImq5OTrTJPkA1M9qlZsvv4IWNE/edit?usp=sharing,-,BC-R,BC,,,,,,,,,,,,,,
5,Wedge Cushion,BRONZE,https://www.amazon.com/dp/B075DRS4C9,https://www.amazon.co.uk/dp/B075DRS4C9,https://www.amazon.ca/dp/B075DRS4C9,https://www.amazon.com.mx/dp/B075DRS4C9,https://www.amazon.de/dp/B075DRS4C9,https://www.amazon.it/dp/B075DRS4C9,https://www.amazon.es/dp/B075DRS4C9,https://www.amazon.fr/dp/B075DRS4C9,-,https://www.amazon.pl/dp/B075DRS4C9,https://www.amazon.nl/dp/B075DRS4C9,-,https://www.amazon.co.jp/dp/B075DRS4C9,B075DRS4C9,3I-GX1T-3CM5,FNSKU,X001KB32R7,046728408414,046728408414,046728408414,WC barcode,00810062780525,B075DRS4C9,EC-WC-EU,FNSKU,X0016D4NBP,,EC-WC-EU barcode,B075DRS4C9,EC-WC-EU,FNSKU,X0016D4NBP,046728408438,EC-WC-EU barcode,B075DRS4C9,FNSKU,X000ZJG6IL,046728408414,file,https://docs.google.com/document/d/1-dgqcj2L0d8I3chUtMrpPcdYQqn_7w54wdmOHqlgsZs/edit?usp=sharing,https://docs.google.com/document/d/1Z4ZdAQwloaVCIaX0ffFEzst6KRI2CkrC-sctPCOMuAI/edit?usp=sharing,https://docs.google.com/document/d/14qp0gpKF-e1SDTnnNPK9IXyyms185WoOOPx1kSZsCD4/edit?usp=sharing,-,WC,WC,YES,YES,NO,NO,NO,NO,NO,NO,-,NO,NO,-,NO,YES
6,Knee Pillow,BRONZE,https://www.amazon.com/dp/B07995B8L1,https://www.amazon.co.uk/dp/B07995B8L1,https://www.amazon.ca/dp/B07995B8L1,https://www.amazon.com.mx/dp/B07995B8L1,https://www.amazon.de/dp/B07995B8L1,https://www.amazon.it/dp/B07995B8L1,https://www.amazon.es/dp/B07995B8L1,https://www.amazon.fr/dp/B07995B8L1,-,-,https://www.amazon.nl/dp/B07995B8L1,https://www.amazon.com.tr/dp/B07995B8L1,https://www.amazon.co.jp/dp/B07995B8L1,B07995B8L1,EC-KPW,FNSKU,X001EBA7AX,046728408032,046728408032,046728408032,KP barcode,00810062780303,B07995B8L1,KP,FNSKU,X0016MRW2D,046728408469,KP barcode,B07995B8L1,KP,FNSKU,X0016MRW2D,B07995B8L1,KP barcode,B07995B8L1,FNSKU,X000Z2EGNP,046728408469,file,https://docs.google.com/document/d/1SUYeFeIXsrzawxPtYTnKOHVE4U8KzBi3IXU12pWFilQ/edit?usp=sharing,https://docs.google.com/document/d/1Rr2hPvYVO7sAUcQF-mFPa1c-W6M-cChikH-32qRLunA/edit?usp=sharing,https://docs.google.com/document/d/1tVQW5auARa6bMge1OzBfoOVgvCGkoq33pDUqpZWM7Lw/edit?usp=sharing,-,KP,KP,YES,YES,NO,NO,NO,NO,NO,NO,-,-,NO,NO,NO,YES
7,Knee Pillow,BRONZE,https://www.amazon.com/dp/B07JP3B5VL,https://www.amazon.co.uk/dp/B07JP3B5VL,https://www.amazon.ca/dp/B07JP3B5VL,https://www.amazon.com.mx/dp/B07JP3B5VL,https://www.amazon.de/dp/B07JP3B5VL,https://www.amazon.it/dp/B07JP3B5VL,https://www.amazon.es/dp/B07JP3B5VL,https://www.amazon.fr/dp/B07JP3B5VL,-,-,-,https://www.amazon.com.tr/dp/B07JP3B5VL,https://www.amazon.co.jp/dp/B07JP3B5VL,B07JP3B5VL,SC-GI,FNSKU,X001XMUDAH,810062780020,810062780020,810062780020,SC-Gel barcode,00810062780020,B07JP3B5VL,SC-GI,FNSKU,X001CXC0VT,810062780020,SC-GI barcode,B07JP3B5VL,SC-GI,FNSKU,X001CXC0VT,B07JP3B5VL,SC-GI barcode,B07JP3B5VL,,,,,https://docs.google.com/document/d/1YWZmf69ZaCGdFSDcRFX7fWTCc82ugkPG5YcwY3TCAUo/edit?usp=sharing,https://docs.google.com/document/d/1d66-hfzOWErJ0znalgl0CHdsw8_HsoC-R8BduQ8XT2g/edit?usp=sharing,https://docs.google.com/document/d/17pZfl1t31zSu7ssLlza1MMtNzvo9qWwgsjX2COs1V5w/edit?usp=sharing,-,SC-GI,SC-GI,YES,NO,NO,NO,NO,NO,NO,NO,-,-,-,NO,NO,YES
